fen,my_move,Your_Move_Eval,Best_Move_Eval,Eval_Difference,New_Move_Quality
rnbqkbnr/p3pppp/2p5/1p6/P1pP4/4P3/1P3PPP/RNBQKBNR w KQkq - 0 5,axb5,0.00,0.00,0.00,Unknown
rnbqk2r/pp2bppp/2p1pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 2 6,e3,-0.36,-0.36,0.00,Best/Excellent
rn1qkb1r/ppp2ppp/4pn2/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,Bg5,-0.36,-0.42,0.06,Best/Excellent
rnbqkb1r/ppp2ppp/8/3pP3/4n3/2N2Q2/PPPP2PP/R1B1KBNR b KQkq - 1 5,Nxc3,0.19,-0.15,0.34,Good
rnbqk2r/ppp1bppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 5,Bg5,-0.22,-0.30,0.08,Best/Excellent
r1bqkb1r/ppp1pppp/2n2n2/3p4/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 3 4,Nf3,-0.55,-0.51,0.04,Best/Excellent
rnbqkb1r/ppp1pppp/5n2/8/2pP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 0 4,e4,0.25,-0.21,0.46,Good
r1bqk2r/ppp2ppp/2p2n2/2b3B1/4P3/3P4/PPP2PPP/RN1QKB1R b KQkq - 2 6,Nxe4,-3.71,-3.77,0.06,Best/Excellent
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,Nf6,-0.13,-0.19,0.06,Best/Excellent
rnbqkb1r/ppp1pppp/3p1n2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,Nc3,-0.50,-0.57,0.07,Best/Excellent
rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq - 0 1,d5,0.22,0.25,0.03,Best/Excellent
r1bqk2r/pp1nbppp/2p1pn2/3p2B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 1 7,Bd3,-0.37,-0.30,0.07,Best/Excellent
rnbqkb1r/pp3ppp/4pn2/3p2B1/2Pp4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,Nxd4,0.01,0.08,0.07,Best/Excellent
rnbqk2r/ppp1bpp1/4pn1p/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,Bh4,-0.20,-0.24,0.04,Best/Excellent
rnbq1rk1/ppp1bppp/4pn2/3p2B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQ - 6 6,e3,-0.15,-0.27,0.12,Best/Excellent
rnbqk2r/ppp1bppp/4pn2/3p2B1/2PP4/2N1P3/PP3PPP/R2QKBNR b KQkq - 0 5,c5,0.49,0.18,0.31,Good
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 4,Be7,0.29,0.29,0.00,Best/Excellent
